broadcast,song_name,datetime
rmf-fm,Edyta Bartosiewicz / Róże Europy - Jedwab,08-03-20 00:42
rmf-fm,Ann Lee - 2 times,08-03-20 00:48
rmf-fm,Tiësto - Blue,08-03-20 00:52
rmf-fm,Unique Ii - Break my stride,08-03-20 00:54
rmf-fm,Jax Jones / Bebe Rexha - Harder,08-03-20 00:58
rmf-fm,Rihanna - Diamonds,08-03-20 01:13
rmf-fm,Robert Gawlinski - O sobie samym,08-03-20 01:19
rmf-fm,Harry Styles - Adore you,08-03-20 01:23
rmf-fm,Perfect - Niewiele ci mogę dać,08-03-20 01:28
rmf-fm,Marcin Sójka - Wróć,08-03-20 01:34
rmf-fm,Ewa Farna - Na ostrzu,08-03-20 01:40
rmf-fm,Cher - The shoop shoop song,08-03-20 01:45
rmf-fm,Lewis Capaldi - Before you go,08-03-20 01:49
rmf-fm,Kasia Kowalska - Alannah (tak niewiele chce),08-03-20 01:52
rmf-fm,Rita Ora - Let you love me,08-03-20 01:58
rmf-fm,Lady Pank - Tacy sami,09-03-20 01:38
rmf-fm,Pectus - Życie na dystans,09-03-20 01:41
rmf-fm,The Weeknd - Blinding lights,09-03-20 01:46
rmf-fm,Kasia Cerekwicka - Na kolana,09-03-20 01:49
rmf-fm,Shanguy - Toukasse,09-03-20 01:53
rmf-fm,Łukasz Zagrobelny - Nieprawda,09-03-20 01:57
rmf-fm,Ewa Farna - Nie przegap,11-03-20 00:10
rmf-fm,The Weeknd - Blinding lights,11-03-20 00:17
rmf-fm,Perfect - Ludzie niepowszedni,11-03-20 00:19
rmf-fm,Tabb‚ Sound'n'grace - Możesz wszystko,11-03-20 00:26
rmf-fm,Shakira / Anuel Aa - Me gusta,11-03-20 00:30
rmf-fm,Budka Suflera - Bal wszystkich świętych,11-03-20 00:37
rmf-fm,Urszula - Na sen,11-03-20 00:41
rmf-fm,Meduza/becky Hill - Lose control,11-03-20 00:49
rmf-fm,Martyna Jakubowicz - W domach z betonu (nie ma wolnej miłości),11-03-20 00:53
rmf-fm,Varius Manx - Pocałuj noc,11-03-20 00:57
rmf-fm,O.n.a. - Znalazłam,11-03-20 01:05
rmf-fm,Enej - Kamień z napisem love,11-03-20 01:09
rmf-fm,Lucas & Steve / Lumi!x - Perfect (lum!x remix),11-03-20 01:15
rmf-fm,Yugopolis & Marek Piekarczyk - Czy pamiętasz ?,11-03-20 01:19
rmf-fm,Ania Dabrowska - Z toba nie umiem wygrac,11-03-20 01:26
rmf-fm,Ava Max - Salt,11-03-20 01:30
rmf-fm,Liber‚ Sylwia Grzeszczak - Nowe szanse,11-03-20 01:36
rmf-fm,Ewelina Lisowska - Prosta sprawa,11-03-20 01:40
rmf-fm,Gabry Ponte / Mokaby / D.t.e / Lumi!x - The passenger (lalala),11-03-20 01:46
rmf-fm,Kombii - Awinion,11-03-20 01:52
rmf-fm,Ira - Powtarzaj to,11-03-20 01:56
rmf-fm,Adam Lambert - Whataya want from me,12-03-20 01:06
rmf-fm,Paweł Kukiz / Piersi - Całuj mnie,12-03-20 01:10
rmf-fm,Tiësto - Blue,12-03-20 01:18
rmf-fm,T.love - Stokrotka,12-03-20 01:20
rmf-fm,Bajm - Noc po ciężkim dniu,12-03-20 01:28
rmf-fm,Mig / Felix Jaehn / Vize - Close your eyes,12-03-20 01:32
rmf-fm,Bracia - Niepisane,12-03-20 01:38
rmf-fm,Sarsa - Volta,12-03-20 01:42
rmf-fm,Avicii / Kygo / Sandro Cavazza - Forever yours (avicii tribute),12-03-20 01:48
rmf-fm,Rag'n'bone Man - Skin,14-03-20 01:05
rmf-fm,Kasia Kowalska - Baby blues,14-03-20 01:07
rmf-fm,Robin Schulz - In your eyes,14-03-20 01:17
rmf-fm,Goya - Tylko mnie kochaj,14-03-20 01:20
rmf-fm,Anna Wyszkoni - Z ciszą pośród czterech ścian,14-03-20 01:27
rmf-fm,Ewa Farna - Tajna misja,12-03-20 01:54
rmf-fm,The Weeknd - Blinding lights,14-03-20 01:31
rmf-fm,Hey‚ Edyta Bartosiewicz - Moja i twoja nadzieja,14-03-20 01:37
rmf-fm,Chłopcy Z Placu Broni - Kocham cię,14-03-20 01:41
